Receipt ID,Product ID,Supplier ID,Receipt Date,Quantity Received,Unit Cost
RC-000001,OFF-PA-1000,SUP-109,2023-02-20,1357,14.41
RC-000002,OFF-PA-1000,SUP-109,2023-04-24,1389,14.41
RC-000003,OFF-PA-1000,SUP-109,2023-06-19,1323,14.41
RC-000004,OFF-PA-1000,SUP-109,2023-08-14,1327,14.41
RC-000005,OFF-PA-1000,SUP-109,2023-10-16,1450,14.41
RC-000006,OFF-PA-1000,SUP-109,2023-12-11,1354,14.41
RC-000007,OFF-PA-1000,SUP-109,2024-02-12,1421,14.41
RC-000008,OFF-PA-1000,SUP-109,2024-04-08,1343,14.41
RC-000009,OFF-PA-1000,SUP-109,2024-06-03,1333,14.41
RC-000010,OFF-PA-1000,SUP-109,2024-07-29,1330,14.41
RC-000011,OFF-PA-1000,SUP-109,2024-09-23,1334,14.41
RC-000012,OFF-PA-1000,SUP-109,2024-11-18,1350,14.41
RC-000013,OFF-PA-1000,SUP-109,2025-01-13,1341,14.41
RC-000014,OFF-PA-1000,SUP-109,2025-03-10,1369,14.41
RC-000015,OFF-PA-1000,SUP-109,2025-05-05,1316,14.41
RC-000016,OFF-PA-1000,SUP-109,2025-07-07,1458,14.41
RC-000017,OFF-PA-1000,SUP-109,2025-09-01,1331,14.41
RC-000018,OFF-PA-1000,SUP-109,2025-10-27,1378,14.41
RC-000019,OFF-PA-1000,SUP-109,2025-12-22,1364,14.41
RC-000020,OFF-LA-1001,SUP-112,2023-01-30,1264,29.43
RC-000021,OFF-LA-1001,SUP-112,2023-03-20,1293,29.43
RC-000022,OFF-LA-1001,SUP-112,2023-05-08,1316,29.43
RC-000023,OFF-LA-1001,SUP-112,2023-06-26,1271,29.43
RC-000024,OFF-LA-1001,SUP-112,2023-08-14,1256,29.43
RC-000025,OFF-LA-1001,SUP-112,2023-10-02,1309,29.43
RC-000026,OFF-LA-1001,SUP-112,2023-11-20,1287,29.43
RC-000027,OFF-LA-1001,SUP-112,2024-01-08,1273,29.43
RC-000028,OFF-LA-1001,SUP-112,2024-02-26,1322,29.43
RC-000029,OFF-LA-1001,SUP-112,2024-04-15,1349,29.43
RC-000030,OFF-LA-1001,SUP-112,2024-06-03,1321,29.43
RC-000031,OFF-LA-1001,SUP-112,2024-07-22,1275,29.43
RC-000032,OFF-LA-1001,SUP-112,2024-09-09,1271,29.43
RC-000033,OFF-LA-1001,SUP-112,2024-10-28,1295,29.43
RC-000034,OFF-LA-1001,SUP-112,2024-12-16,1344,29.43
RC-000035,OFF-LA-1001,SUP-112,2025-02-03,1283,29.43
RC-000036,OFF-LA-1001,SUP-112,2025-03-24,1324,29.43
RC-000037,OFF-LA-1001,SUP-112,2025-05-12,1296,29.43
RC-000038,OFF-LA-1001,SUP-112,2025-06-30,1358,29.43
RC-000039,OFF-LA-1001,SUP-112,2025-08-18,1340,29.43
RC-000040,OFF-LA-1001,SUP-112,2025-10-06,1311,29.43
RC-000041,OFF-LA-1001,SUP-112,2025-11-24,1228,29.43
RC-000042,TEC-PH-1002,SUP-107,2023-02-27,401,416.54
RC-000043,TEC-PH-1002,SUP-107,2023-05-22,388,416.54
RC-000044,TEC-PH-1002,SUP-107,2023-08-07,382,416.54
RC-000045,TEC-PH-1002,SUP-107,2023-10-16,377,416.54
RC-000046,TEC-PH-1002,SUP-107,2024-01-08,398,416.54
RC-000047,TEC-PH-1002,SUP-107,2024-03-18,385,416.54
RC-000048,TEC-PH-1002,SUP-107,2024-06-10,394,416.54
RC-000049,TEC-PH-1002,SUP-107,2024-08-26,401,416.54
RC-000050,TEC-PH-1002,SUP-107,2024-11-11,399,416.54
RC-000051,TEC-PH-1002,SUP-107,2025-01-27,374,416.54
RC-000052,TEC-PH-1002,SUP-107,2025-04-14,394,416.54
RC-000053,TEC-PH-1002,SUP-107,2025-06-30,383,416.54
RC-000054,TEC-PH-1002,SUP-107,2025-09-08,368,416.54
RC-000055,TEC-PH-1002,SUP-107,2025-12-01,391,416.54
RC-000056,FUR-BO-1003,SUP-103,2023-02-20,181,269.12
RC-000057,FUR-BO-1003,SUP-103,2023-05-22,188,269.12
RC-000058,FUR-BO-1003,SUP-103,2023-08-14,195,269.12
RC-000059,FUR-BO-1003,SUP-103,2023-10-30,185,269.12
RC-000060,FUR-BO-1003,SUP-103,2024-01-15,192,269.12
RC-000061,FUR-BO-1003,SUP-103,2024-04-08,184,269.12
RC-000062,FUR-BO-1003,SUP-103,2024-07-01,186,269.12
RC-000063,FUR-BO-1003,SUP-103,2024-09-23,182,269.12
RC-000064,FUR-BO-1003,SUP-103,2024-12-23,188,269.12
RC-000065,FUR-BO-1003,SUP-103,2025-03-24,184,269.12
RC-000066,FUR-BO-1003,SUP-103,2025-06-09,188,269.12
RC-000067,FUR-BO-1003,SUP-103,2025-09-01,191,269.12
RC-000068,FUR-BO-1003,SUP-103,2025-11-24,190,269.12
RC-000069,TEC-CO-1004,SUP-113,2023-02-13,1329,297.26
RC-000070,TEC-CO-1004,SUP-113,2023-05-08,1328,297.26
RC-000071,TEC-CO-1004,SUP-113,2023-07-31,1400,297.26
RC-000072,TEC-CO-1004,SUP-113,2023-10-23,1318,297.26
RC-000073,TEC-CO-1004,SUP-113,2024-01-15,1323,297.26
