Product ID,Product Name,Category,Sub-Category,Warehouse,Supplier ID,Unit Cost,Lead Time Days,Avg Daily Demand,Safety Stock,Reorder Point,Beginning Stock,Current Stock,Last Restock Date
OFF-PA-1000,Boise Paper,Office Supplies,Paper,West DC,SUP-109,14.41,3,23.89,119,191,1271,1326,2025-12-22
OFF-LA-1001,Hon Label Maker Tape,Office Supplies,Labels,Central DC,SUP-112,29.43,6,26.75,374,534,1235,798,2025-11-24
TEC-PH-1002,Apple iPhone,Technology,Phones,East DC,SUP-107,416.54,15,4.96,55,129,337,329,2025-12-01
FUR-BO-1003,Sauder Bookcase,Furniture,Bookcases,Central DC,SUP-103,269.12,3,2.23,25,32,139,142,2025-11-24
TEC-CO-1004,Hewlett Packard Copier,Technology,Copiers,West DC,SUP-113,297.26,11,15.83,206,380,939,1155,2025-12-01
OFF-PA-1005,Boise Paper,Office Supplies,Paper,West DC,SUP-107,28.49,15,6.15,37,129,319,244,2025-11-24
TEC-CO-1006,Hewlett Packard Copier,Technology,Copiers,East DC,SUP-109,201.86,3,10.78,75,107,803,366,2025-12-01
OFF-ST-1007,Iris File Box,Office Supplies,Storage,South DC,SUP-100,16.09,19,12.05,133,362,644,262,2025-12-01
OFF-PA-1008,HP Paper Ream,Office Supplies,Paper,South DC,SUP-107,21.13,15,22.92,206,550,1151,1222,2025-12-22
TEC-AC-1009,Kensington Keyboard,Technology,Accessories,East DC,SUP-114,551.46,17,4.24,42,114,217,283,2025-11-10
TEC-AC-1010,SanDisk Flash Drive,Technology,Accessories,West DC,SUP-111,218.06,12,10.44,63,188,673,572,2025-12-22
TEC-CO-1011,Canon Copier,Technology,Copiers,South DC,SUP-110,420.14,14,5.63,34,113,315,444,2025-12-08
FUR-TA-1012,Bretford Conference Table,Furniture,Tables,South DC,SUP-113,225.75,8,3.58,36,65,195,114,2025-12-08
TEC-AC-1013,SanDisk Flash Drive,Technology,Accessories,East DC,SUP-109,378.75,5,16.56,199,282,932,177,2025-10-13
TEC-MA-1014,Lexmark Printer,Technology,Machines,West DC,SUP-107,460.76,18,1.91,19,53,97,22,2025-11-17
OFF-ST-1015,Fellowes Storage Box,Office Supplies,Storage,West DC,SUP-106,21.27,9,13.24,79,198,919,978,2025-12-22
TEC-AC-1016,Kensington Keyboard,Technology,Accessories,East DC,SUP-110,497.43,17,4.56,27,105,288,191,2025-11-03
TEC-MA-1017,Cubify 3D Printer,Technology,Machines,Central DC,SUP-104,571.22,3,3.16,22,31,166,27,2025-11-10
TEC-CO-1018,Hewlett Packard Copier,Technology,Copiers,East DC,SUP-112,340.75,6,6.7,67,107,467,288,2025-12-15
FUR-FU-1019,Eldon Desk Lamp,Furniture,Furnishings,East DC,SUP-102,227.74,14,1.0,12,26,67,51,2025-11-03
FUR-BO-1020,O'Sullivan Bookcase,Furniture,Bookcases,South DC,SUP-107,123.28,16,1.39,19,41,77,89,2025-12-22
OFF-AR-1021,Sharpie Markers,Office Supplies,Art,West DC,SUP-101,21.05,5,6.92,62,97,386,105,2025-11-24
FUR-FU-1022,Advantus Task Lamp,Furniture,Furnishings,South DC,SUP-111,137.77,9,1.71,9,24,96,71,2025-11-10
FUR-TA-1023,Bretford Conference Table,Furniture,Tables,East DC,SUP-107,136.94,17,1.05,13,31,63,50,2025-12-08
OFF-AR-1024,Sharpie Markers,Office Supplies,Art,East DC,SUP-113,23.81,8,15.2,106,228,704,455,2025-10-27
FUR-FU-1025,Tenex Chairmat,Furniture,Furnishings,East DC,SUP-103,138.26,6,5.43,27,60,342,144,2025-10-20
OFF-ST-1026,SimpleHouseware Bin,Office Supplies,Storage,West DC,SUP-103,15.02,6,2.72,24,40,152,73,2025-10-13
OFF-ST-1027,Fellowes Storage Box,Office Supplies,Storage,West DC,SUP-111,17.21,12,38.63,464,928,2477,958,2025-11-10
OFF-AR-1028,Newell Highlighters,Office Supplies,Art,Central DC,SUP-103,17.79,3,23.32,117,187,1684,1743,2025-12-08
OFF-ST-1029,Fellowes Storage Box,Office Supplies,Storage,East DC,SUP-106,25.27,10,15.28,122,275,1090,1000,2025-12-22
OFF-BI-1030,GBC Binding System,Office Supplies,Binders,South DC,SUP-105,27.76,18,0.78,7,21,41,29,2025-10-27
FUR-CH-1031,Global Task Chair,Furniture,Chairs,East DC,SUP-104,255.65,2,3.28,16,23,241,99,2025-11-24
OFF-AR-1032,Sharpie Markers,Office Supplies,Art,South DC,SUP-107,17.24,14,30.33,425,850,1794,844,2025-12-01
TEC-CO-1033,Hewlett Packard Copier,Technology,Copiers,South DC,SUP-114,402.18,15,15.45,154,386,932,1185,2025-12-22
OFF-AR-1034,Bic Pens,Office Supplies,Art,East DC,SUP-104,8.65,3,24.29,267,340,1487,816,2025-12-08
OFF-ST-1035,Iris File Box,Office Supplies,Storage,South DC,SUP-100,20.7,19,31.95,351,958,1986,447,2025-11-17
FUR-FU-1036,Advantus Task Lamp,Furniture,Furnishings,West DC,SUP-104,343.44,3,1.81,9,14,92,12,2025-11-17
TEC-AC-1037,Logitech Mouse,Technology,Accessories,East DC,SUP-104,175.89,4,0.49,4,6,32,22,2025-12-08
OFF-LA-1038,Avery Labels,Office Supplies,Labels,South DC,SUP-108,20.77,7,12.46,174,261,703,648,2025-12-22
FUR-TA-1039,Chromcraft Round Table,Furniture,Tables,South DC,SUP-108,133.11,10,1.77,18,36,95,84,2025-12-22
TEC-CO-1040,Canon Copier,Technology,Copiers,East DC,SUP-113,234.98,10,14.08,99,240,892,285,2025-12-01
TEC-AC-1041,Logitech Mouse,Technology,Accessories,Central DC,SUP-111,210.54,9,16.51,132,281,748,814,2025-12-22
OFF-AR-1042,Sharpie Markers,Office Supplies,Art,East DC,SUP-107,21.47,15,14.44,202,419,944,561,2025-11-03
TEC-CO-1043,Canon Copier,Technology,Copiers,South DC,SUP-109,510.34,4,5.54,78,100,260,100,2025-11-10
TEC-CO-1044,Hewlett Packard Copier,Technology,Copiers,Central DC,SUP-113,199.88,8,6.29,44,94,357,64,2025-11-24
OFF-ST-1045,SimpleHouseware Bin,Office Supplies,Storage,South DC,SUP-106,16.21,9,34.66,243,555,2015,1376,2025-12-08
OFF-LA-1046,Hon Label Maker Tape,Office Supplies,Labels,South DC,SUP-113,30.5,10,11.91,119,238,565,710,2025-12-08
TEC-AC-1047,Kensington Keyboard,Technology,Accessories,West DC,SUP-103,387.67,3,15.0,135,180,1070,1113,2025-12-01
OFF-ST-1048,SimpleHouseware Bin,Office Supplies,Storage,East DC,SUP-102,17.7,15,8.37,109,235,457,281,2025-11-10
OFF-ST-1049,Iris File Box,Office Supplies,Storage,West DC,SUP-105,7.94,21,13.4,67,348,889,236,2025-11-24
OFF-PA-1050,Boise Paper,Office Supplies,Paper,South DC,SUP-113,10.81,11,21.51,151,388,1059,534,2025-12-08
FUR-CH-1051,HON Executive Chair,Furniture,Chairs,Central DC,SUP-105,200.64,19,1.77,9,43,118,42,2025-12-08
OFF-LA-1052,Avery Labels,Office Supplies,Labels,Central DC,SUP-114,29.76,15,11.21,90,258,521,203,2025-12-01
