Supplier ID,Supplier Name,Country,Avg Lead Time Days,Reliability Rating
SUP-100,Metro Supply Co.,Mexico,18,0.97
SUP-101,Pacific Wholesale,United States,3,0.85
SUP-102,Global Sourcing Partners,China,15,0.92
SUP-103,Northbridge Distribution,Canada,5,0.87
SUP-104,Everstock Trading,Canada,4,0.96
SUP-105,Union Freight Supply,Vietnam,20,0.85
SUP-106,Continental Goods,United States,10,0.88
SUP-107,Harborline Logistics,Canada,16,0.92
SUP-108,Summit Vendor Group,Mexico,9,0.96
SUP-109,Coastal Import Co.,Canada,3,0.89
SUP-110,Vantage Supply Chain,Mexico,16,0.93
SUP-111,Ridgeway Distributors,United States,11,0.83
SUP-112,Anchor Wholesale,Canada,7,0.84
SUP-113,Keystone Sourcing,China,10,0.97
SUP-114,Trailhead Supply Co.,China,15,0.84
