customer_id,tenure_months,avg_order_value,orders_last_90d,days_since_last_order,support_tickets,plan_type,region,churned_next_30d,cancellation_reason,refund_after_churn
CUST-100000,29,583.5,0,121,1,basic,NCR,0,,0
CUST-100001,27,1870.43,2,52,1,standard,Region IV-A,0,,0
CUST-100002,52,942.26,3,7,1,basic,Region VII,0,,0
CUST-100003,3,958.54,1,187,1,basic,NCR,0,,0
CUST-100004,13,1084.82,2,151,2,standard,NCR,0,,0
CUST-100005,28,1126.28,0,162,2,standard,Region IV-A,1,unknown,1
CUST-100006,49,1596.89,8,127,1,premium,NCR,0,,0
CUST-100007,28,366.62,3,50,1,basic,NCR,0,,0
CUST-100008,38,724.05,2,126,2,basic,Region VII,0,,0
CUST-100009,11,690.55,0,114,3,standard,Region III,0,,0
CUST-100010,56,1324.92,3,133,1,basic,Region IV-A,0,,0
CUST-100011,47,795.61,5,5,0,standard,Region VII,0,,0
CUST-100012,3,1254.41,1,99,1,standard,NCR,0,,0
CUST-100013,42,1109.42,5,165,0,basic,Region III,0,,0
CUST-100014,8,1159.5,3,84,1,standard,Region III,0,,0
CUST-100015,34,853.61,2,98,1,basic,Region IV-A,0,,0
CUST-100016,42,776.67,1,181,0,basic,Region IV-A,0,,0
CUST-100017,55,1740.17,4,98,1,premium,NCR,0,,0
CUST-100018,5,463.04,0,94,2,basic,Region IV-A,0,,0
CUST-100019,17,950.79,1,27,1,basic,Region VII,0,,0
CUST-100020,41,470.15,2,87,1,standard,Region XI,0,,0
CUST-100021,16,529.29,2,6,1,basic,Region IV-A,0,,0
CUST-100022,43,572.66,8,167,0,basic,Region VII,0,,0
CUST-100023,11,295.56,0,188,2,basic,Region XI,0,,0
CUST-100024,10,854.48,1,103,2,basic,Region VII,0,,0
CUST-100025,33,482.98,4,146,0,basic,Region IV-A,0,,0
CUST-100026,41,1726.04,2,118,0,standard,Region IV-A,0,,0
CUST-100027,13,668.33,1,52,3,basic,Region XI,0,,0
CUST-100028,52,1694.31,1,42,2,premium,Region VII,0,,0
CUST-100029,52,1340.73,3,4,2,basic,Region III,0,,0
CUST-100030,5,1018.18,0,146,0,basic,Region IV-A,1,no_longer_needed,0
CUST-100031,18,1211.22,0,127,0,premium,Region VII,0,,0
CUST-100032,33,1024.48,3,36,3,standard,Region IV-A,0,,0
CUST-100033,29,297.12,3,173,1,basic,Region IV-A,0,,0
CUST-100034,16,1104.62,0,12,2,basic,Region VII,0,,0
CUST-100035,32,2537.29,2,94,1,standard,Region III,0,,0
CUST-100036,57,1279.62,6,4,1,basic,Region VII,0,,0
CUST-100037,19,594.44,1,133,1,basic,Region VII,0,,0
CUST-100038,13,879.65,0,96,2,standard,Region XI,0,,0
CUST-100039,44,1560.62,3,190,2,standard,Region XI,0,,0
CUST-100040,34,407.29,2,125,0,standard,Region VII,0,,0
CUST-100041,41,331.55,4,96,0,basic,Region VII,0,,0
CUST-100042,39,1098.7,4,86,2,premium,Region VII,0,,0
CUST-100043,45,526.35,2,162,2,basic,Region III,1,no_longer_needed,0
CUST-100044,44,459.19,4,166,0,standard,Region XI,0,,0
CUST-100045,36,979.68,2,69,1,basic,Region IV-A,0,,0
CUST-100046,27,849.96,1,188,1,standard,Region XI,1,too_expensive,1
CUST-100047,28,853.22,2,2,2,standard,Region III,0,,0
CUST-100048,16,831.64,3,168,4,basic,Region III,0,,0
CUST-100049,27,514.17,4,170,2,standard,Region VII,0,,0
CUST-100050,36,1331.95,3,74,1,premium,Region IV-A,0,,0
CUST-100051,43,260.88,3,189,2,basic,Region IV-A,1,unknown,0
