Product ID,Product Name,Category,Sub-Category
OFF-PA-1000,Boise Paper,Office Supplies,Paper
OFF-LA-1001,Hon Label Maker Tape,Office Supplies,Labels
TEC-PH-1002,Apple iPhone,Technology,Phones
FUR-BO-1003,Sauder Bookcase,Furniture,Bookcases
TEC-CO-1004,Hewlett Packard Copier,Technology,Copiers
OFF-PA-1005,Boise Paper,Office Supplies,Paper
TEC-CO-1006,Hewlett Packard Copier,Technology,Copiers
OFF-ST-1007,Iris File Box,Office Supplies,Storage
OFF-PA-1008,HP Paper Ream,Office Supplies,Paper
TEC-AC-1009,Kensington Keyboard,Technology,Accessories
TEC-AC-1010,SanDisk Flash Drive,Technology,Accessories
TEC-CO-1011,Canon Copier,Technology,Copiers
FUR-TA-1012,Bretford Conference Table,Furniture,Tables
TEC-AC-1013,SanDisk Flash Drive,Technology,Accessories
TEC-MA-1014,Lexmark Printer,Technology,Machines
OFF-ST-1015,Fellowes Storage Box,Office Supplies,Storage
TEC-AC-1016,Kensington Keyboard,Technology,Accessories
TEC-MA-1017,Cubify 3D Printer,Technology,Machines
TEC-CO-1018,Hewlett Packard Copier,Technology,Copiers
FUR-FU-1019,Eldon Desk Lamp,Furniture,Furnishings
FUR-BO-1020,O'Sullivan Bookcase,Furniture,Bookcases
OFF-AR-1021,Sharpie Markers,Office Supplies,Art
FUR-FU-1022,Advantus Task Lamp,Furniture,Furnishings
FUR-TA-1023,Bretford Conference Table,Furniture,Tables
OFF-AR-1024,Sharpie Markers,Office Supplies,Art
FUR-FU-1025,Tenex Chairmat,Furniture,Furnishings
OFF-ST-1026,SimpleHouseware Bin,Office Supplies,Storage
OFF-ST-1027,Fellowes Storage Box,Office Supplies,Storage
OFF-AR-1028,Newell Highlighters,Office Supplies,Art
OFF-ST-1029,Fellowes Storage Box,Office Supplies,Storage
OFF-BI-1030,GBC Binding System,Office Supplies,Binders
FUR-CH-1031,Global Task Chair,Furniture,Chairs
OFF-AR-1032,Sharpie Markers,Office Supplies,Art
TEC-CO-1033,Hewlett Packard Copier,Technology,Copiers
OFF-AR-1034,Bic Pens,Office Supplies,Art
OFF-ST-1035,Iris File Box,Office Supplies,Storage
FUR-FU-1036,Advantus Task Lamp,Furniture,Furnishings
TEC-AC-1037,Logitech Mouse,Technology,Accessories
OFF-LA-1038,Avery Labels,Office Supplies,Labels
FUR-TA-1039,Chromcraft Round Table,Furniture,Tables
TEC-CO-1040,Canon Copier,Technology,Copiers
TEC-AC-1041,Logitech Mouse,Technology,Accessories
OFF-AR-1042,Sharpie Markers,Office Supplies,Art
TEC-CO-1043,Canon Copier,Technology,Copiers
TEC-CO-1044,Hewlett Packard Copier,Technology,Copiers
OFF-ST-1045,SimpleHouseware Bin,Office Supplies,Storage
OFF-LA-1046,Hon Label Maker Tape,Office Supplies,Labels
TEC-AC-1047,Kensington Keyboard,Technology,Accessories
OFF-ST-1048,SimpleHouseware Bin,Office Supplies,Storage
OFF-ST-1049,Iris File Box,Office Supplies,Storage
OFF-PA-1050,Boise Paper,Office Supplies,Paper
FUR-CH-1051,HON Executive Chair,Furniture,Chairs
OFF-LA-1052,Avery Labels,Office Supplies,Labels
OFF-LA-1053,Hon Label Maker Tape,Office Supplies,Labels
OFF-ST-1054,Iris File Box,Office Supplies,Storage
OFF-PA-1055,Xerox Paper Ream,Office Supplies,Paper
OFF-PA-1056,HP Paper Ream,Office Supplies,Paper
OFF-PA-1057,Xerox Paper Ream,Office Supplies,Paper
FUR-FU-1058,Advantus Task Lamp,Furniture,Furnishings
FUR-FU-1059,Eldon Desk Lamp,Furniture,Furnishings
OFF-ST-1060,Iris File Box,Office Supplies,Storage
OFF-ST-1061,Iris File Box,Office Supplies,Storage
OFF-AR-1062,Newell Highlighters,Office Supplies,Art
FUR-FU-1063,Advantus Task Lamp,Furniture,Furnishings
OFF-AR-1064,Sharpie Markers,Office Supplies,Art
TEC-PH-1065,Cisco IP Phone,Technology,Phones
TEC-CO-1066,Canon Copier,Technology,Copiers
OFF-LA-1067,Avery Labels,Office Supplies,Labels
OFF-PA-1068,Boise Paper,Office Supplies,Paper
FUR-TA-1069,Bush Somerset Table,Furniture,Tables
OFF-LA-1070,Hon Label Maker Tape,Office Supplies,Labels
TEC-AC-1071,Kensington Keyboard,Technology,Accessories
TEC-MA-1072,Lexmark Printer,Technology,Machines
OFF-ST-1073,SimpleHouseware Bin,Office Supplies,Storage
OFF-PA-1074,Xerox Paper Ream,Office Supplies,Paper
OFF-BI-1075,Avery Binder,Office Supplies,Binders
TEC-PH-1076,Samsung Galaxy,Technology,Phones
TEC-PH-1077,Samsung Galaxy,Technology,Phones
OFF-ST-1078,Iris File Box,Office Supplies,Storage
TEC-PH-1079,Apple iPhone,Technology,Phones
FUR-BO-1080,Sauder Bookcase,Furniture,Bookcases
FUR-BO-1081,Sauder Bookcase,Furniture,Bookcases
TEC-CO-1082,Hewlett Packard Copier,Technology,Copiers
OFF-AR-1083,Newell Highlighters,Office Supplies,Art
OFF-LA-1084,Hon Label Maker Tape,Office Supplies,Labels
TEC-MA-1085,Lexmark Printer,Technology,Machines
TEC-AC-1086,Kensington Keyboard,Technology,Accessories
TEC-MA-1087,Lexmark Printer,Technology,Machines
OFF-ST-1088,SimpleHouseware Bin,Office Supplies,Storage
FUR-TA-1089,Bush Somerset Table,Furniture,Tables
FUR-CH-1090,Global Task Chair,Furniture,Chairs
OFF-AR-1091,Newell Highlighters,Office Supplies,Art
OFF-LA-1092,Avery Labels,Office Supplies,Labels
OFF-PA-1093,HP Paper Ream,Office Supplies,Paper
OFF-ST-1094,Iris File Box,Office Supplies,Storage
TEC-CO-1095,Hewlett Packard Copier,Technology,Copiers
OFF-BI-1096,GBC Binding System,Office Supplies,Binders
FUR-BO-1097,Bush Cubix Bookcase,Furniture,Bookcases
OFF-ST-1098,Fellowes Storage Box,Office Supplies,Storage
TEC-AC-1099,Logitech Mouse,Technology,Accessories
TEC-CO-1100,Hewlett Packard Copier,Technology,Copiers
FUR-FU-1101,Eldon Desk Lamp,Furniture,Furnishings
OFF-BI-1102,Wilson Jones Binder,Office Supplies,Binders
OFF-BI-1103,GBC Binding System,Office Supplies,Binders
FUR-BO-1104,Bush Cubix Bookcase,Furniture,Bookcases
FUR-FU-1105,Advantus Task Lamp,Furniture,Furnishings
OFF-PA-1106,Boise Paper,Office Supplies,Paper
OFF-BI-1107,GBC Binding System,Office Supplies,Binders
OFF-PA-1108,Xerox Paper Ream,Office Supplies,Paper
FUR-TA-1109,Bush Somerset Table,Furniture,Tables
OFF-BI-1110,Avery Binder,Office Supplies,Binders
OFF-PA-1111,Xerox Paper Ream,Office Supplies,Paper
FUR-BO-1112,Sauder Bookcase,Furniture,Bookcases
FUR-FU-1113,Eldon Desk Lamp,Furniture,Furnishings
OFF-ST-1114,Fellowes Storage Box,Office Supplies,Storage
TEC-PH-1115,Apple iPhone,Technology,Phones
OFF-PA-1116,Xerox Paper Ream,Office Supplies,Paper
FUR-CH-1117,Global Task Chair,Furniture,Chairs
TEC-CO-1118,Canon Copier,Technology,Copiers
FUR-BO-1119,O'Sullivan Bookcase,Furniture,Bookcases
TEC-PH-1120,Cisco IP Phone,Technology,Phones
OFF-ST-1121,Fellowes Storage Box,Office Supplies,Storage
TEC-PH-1122,Samsung Galaxy,Technology,Phones
TEC-PH-1123,Apple iPhone,Technology,Phones
FUR-TA-1124,Chromcraft Round Table,Furniture,Tables
FUR-BO-1125,Bush Cubix Bookcase,Furniture,Bookcases
TEC-AC-1126,SanDisk Flash Drive,Technology,Accessories
OFF-BI-1127,GBC Binding System,Office Supplies,Binders
FUR-FU-1128,Advantus Task Lamp,Furniture,Furnishings
FUR-CH-1129,HON Executive Chair,Furniture,Chairs
TEC-CO-1130,Hewlett Packard Copier,Technology,Copiers
OFF-ST-1131,Iris File Box,Office Supplies,Storage
OFF-LA-1132,Avery Labels,Office Supplies,Labels
OFF-LA-1133,Hon Label Maker Tape,Office Supplies,Labels
FUR-TA-1134,Chromcraft Round Table,Furniture,Tables
TEC-MA-1135,Lexmark Printer,Technology,Machines
OFF-ST-1136,Iris File Box,Office Supplies,Storage
OFF-ST-1137,Fellowes Storage Box,Office Supplies,Storage
FUR-TA-1138,Chromcraft Round Table,Furniture,Tables
OFF-AR-1139,Bic Pens,Office Supplies,Art
OFF-PA-1140,HP Paper Ream,Office Supplies,Paper
OFF-BI-1141,Avery Binder,Office Supplies,Binders
OFF-PA-1142,Xerox Paper Ream,Office Supplies,Paper
OFF-PA-1143,HP Paper Ream,Office Supplies,Paper
OFF-LA-1144,Avery Labels,Office Supplies,Labels
OFF-AR-1145,Newell Highlighters,Office Supplies,Art
OFF-LA-1146,Hon Label Maker Tape,Office Supplies,Labels
FUR-CH-1147,Hbada Office Chair,Furniture,Chairs
OFF-BI-1148,Avery Binder,Office Supplies,Binders
OFF-PA-1149,HP Paper Ream,Office Supplies,Paper
OFF-LA-1150,Avery Labels,Office Supplies,Labels
OFF-BI-1151,Wilson Jones Binder,Office Supplies,Binders
TEC-MA-1152,Cubify 3D Printer,Technology,Machines
FUR-BO-1153,O'Sullivan Bookcase,Furniture,Bookcases
OFF-BI-1154,GBC Binding System,Office Supplies,Binders
OFF-LA-1155,Hon Label Maker Tape,Office Supplies,Labels
TEC-MA-1156,Zebra Label Printer,Technology,Machines
OFF-ST-1157,SimpleHouseware Bin,Office Supplies,Storage
TEC-CO-1158,Canon Copier,Technology,Copiers
TEC-PH-1159,Apple iPhone,Technology,Phones
OFF-AR-1160,Bic Pens,Office Supplies,Art
OFF-LA-1161,Hon Label Maker Tape,Office Supplies,Labels
