Region Key,Region,State,City,Country
1,Central,Michigan,Detroit,United States
2,West,Oregon,Eugene,United States
3,East,New Jersey,Newark,United States
4,East,New York,Buffalo,United States
5,Central,Ohio,Cleveland,United States
6,Central,Texas,Houston,United States
7,East,Massachusetts,Boston,United States
8,South,Tennessee,Memphis,United States
9,South,Georgia,Savannah,United States
10,West,Washington,Seattle,United States
11,West,California,San Diego,United States
12,West,California,San Francisco,United States
13,South,Georgia,Atlanta,United States
14,East,New Jersey,Jersey City,United States
15,West,Arizona,Tucson,United States
16,East,New York,New York City,United States
17,South,Florida,Miami,United States
18,South,Tennessee,Nashville,United States
19,Central,Illinois,Springfield,United States
20,Central,Ohio,Columbus,United States
21,East,Pennsylvania,Philadelphia,United States
22,East,Massachusetts,Worcester,United States
23,East,Pennsylvania,Pittsburgh,United States
24,Central,Texas,Dallas,United States
25,South,North Carolina,Raleigh,United States
26,Central,Michigan,Ann Arbor,United States
27,South,Florida,Orlando,United States
28,West,Washington,Spokane,United States
29,West,Oregon,Portland,United States
30,West,California,Los Angeles,United States
31,South,North Carolina,Charlotte,United States
32,West,Arizona,Phoenix,United States
33,Central,Illinois,Chicago,United States
34,South,Florida,Tampa,United States
35,Central,Texas,Austin,United States
