Sales Key,Order ID,Order Date,Customer ID,Product ID,Sales,Quantity,Discount,Profit
1,US-2023-100000,2023-11-12,CU-10030,OFF-PA-1000,355.54,8,0.1,68.89
2,US-2023-100001,2025-10-12,CU-10013,OFF-LA-1001,76.7,4,0.15,24.16
3,US-2023-100002,2025-08-24,CU-10057,TEC-PH-1002,1042.4,5,0.3,20.49
4,US-2023-100003,2024-09-24,CU-10054,FUR-BO-1003,398.76,3,0.1,41.56
5,US-2023-100004,2025-06-26,CU-10118,TEC-CO-1004,323.42,1,0.0,14.49
6,US-2023-100005,2025-11-05,CU-10033,OFF-PA-1005,95.84,2,0.0,33.3
7,US-2023-100006,2025-07-06,CU-10096,TEC-CO-1006,5954.92,11,0.15,61.73
8,US-2023-100007,2023-12-21,CU-10116,OFF-ST-1007,214.38,9,0.0,45.74
9,US-2023-100008,2024-10-24,CU-10040,OFF-PA-1008,208.2,5,0.0,73.84
10,US-2023-100009,2025-07-25,CU-10092,TEC-AC-1009,6722.91,9,0.0,1074.83
11,US-2023-100010,2023-07-13,CU-10004,TEC-AC-1010,1235.56,2,0.0,231.93
12,US-2023-100011,2024-07-27,CU-10086,TEC-CO-1011,4978.82,8,0.15,1263.66
13,US-2023-100012,2025-03-02,CU-10006,FUR-TA-1012,2946.24,8,0.0,167.32
14,US-2023-100013,2025-10-05,CU-10062,TEC-AC-1013,559.26,2,0.0,93.6
15,US-2023-100014,2025-10-07,CU-10024,TEC-MA-1014,3839.6,10,0.0,247.01
16,US-2023-100015,2025-11-19,CU-10010,OFF-ST-1015,252.0,10,0.3,76.63
17,US-2023-100016,2023-06-03,CU-10078,TEC-AC-1016,1401.05,2,0.1,9.21
18,US-2023-100017,2023-02-05,CU-10065,TEC-MA-1017,2047.24,4,0.0,124.02
19,US-2023-100018,2025-03-20,CU-10065,TEC-CO-1018,3076.36,4,0.0,829.79
20,US-2023-100019,2023-05-30,CU-10074,FUR-FU-1019,631.65,4,0.15,-25.61
21,US-2023-100020,2023-11-13,CU-10109,FUR-BO-1020,3725.04,8,0.0,576.72
22,US-2023-100021,2025-01-03,CU-10116,OFF-AR-1021,156.31,11,0.0,16.8
23,US-2023-100022,2024-08-14,CU-10065,FUR-FU-1022,2070.4,10,0.0,233.9
24,US-2023-100023,2025-04-01,CU-10061,FUR-TA-1023,5118.84,12,0.0,-371.03
25,US-2023-100024,2024-02-17,CU-10071,OFF-AR-1024,89.62,8,0.4,14.38
26,US-2023-100025,2024-08-12,CU-10030,FUR-FU-1025,2076.97,7,0.0,-133.41
27,US-2023-100026,2025-11-04,CU-10011,OFF-ST-1026,270.0,9,0.0,36.53
28,US-2023-100027,2024-10-21,CU-10110,OFF-ST-1027,99.44,3,0.1,27.9
29,US-2023-100028,2024-10-05,CU-10073,OFF-AR-1028,234.66,6,0.0,52.52
30,US-2023-100029,2024-09-03,CU-10015,OFF-ST-1029,227.57,11,0.2,49.67
31,US-2023-100030,2023-03-03,CU-10104,OFF-BI-1030,99.25,5,0.0,29.06
32,US-2023-100031,2024-04-23,CU-10084,FUR-CH-1031,1406.88,8,0.0,263.83
33,US-2023-100032,2024-05-07,CU-10050,OFF-AR-1032,238.44,6,0.0,31.65
34,US-2023-100033,2024-05-26,CU-10085,TEC-CO-1033,3082.28,8,0.5,38.46
35,US-2023-100034,2025-07-12,CU-10039,OFF-AR-1034,132.3,7,0.0,45.26
36,US-2023-100035,2024-11-23,CU-10023,OFF-ST-1035,112.49,7,0.0,36.34
37,US-2023-100036,2024-09-01,CU-10048,FUR-FU-1036,1771.5,5,0.0,271.65
38,US-2023-100037,2024-08-05,CU-10082,TEC-AC-1037,6225.52,8,0.0,744.85
39,US-2023-100038,2024-07-20,CU-10002,OFF-LA-1038,80.7,3,0.0,6.25
40,US-2023-100039,2025-01-27,CU-10050,FUR-TA-1039,1525.64,4,0.1,296.8
41,US-2023-100040,2025-08-21,CU-10118,TEC-CO-1040,7610.3,13,0.2,32.2
42,US-2023-100041,2025-06-05,CU-10077,TEC-AC-1041,4375.8,13,0.15,853.26
43,US-2023-100042,2023-01-06,CU-10035,OFF-AR-1042,251.63,13,0.4,48.68
44,US-2023-100043,2024-12-13,CU-10026,TEC-CO-1043,2476.54,11,0.0,-38.12
45,US-2023-100044,2025-10-17,CU-10091,TEC-CO-1044,7445.9,10,0.0,300.52
46,US-2023-100045,2023-09-14,CU-10053,OFF-ST-1045,20.69,1,0.3,5.62
47,US-2023-100046,2024-03-30,CU-10062,OFF-LA-1046,234.96,8,0.0,78.94
48,US-2023-100047,2025-01-14,CU-10081,TEC-AC-1047,5219.89,13,0.0,57.66
49,US-2023-100048,2023-07-24,CU-10102,OFF-ST-1048,403.44,12,0.0,72.46
50,US-2023-100049,2024-01-20,CU-10066,OFF-ST-1049,91.11,5,0.4,26.93
51,US-2023-100050,2025-12-10,CU-10041,OFF-PA-1050,357.1,12,0.15,88.28
52,US-2023-100051,2023-01-28,CU-10102,FUR-CH-1051,2650.1,12,0.1,364.63
53,US-2023-100052,2024-11-26,CU-10103,OFF-LA-1052,475.54,11,0.15,59.71
54,US-2023-100053,2023-12-17,CU-10051,OFF-LA-1053,50.47,6,0.4,5.09
55,US-2023-100054,2023-02-26,CU-10068,OFF-ST-1054,73.35,5,0.0,13.6
56,US-2023-100055,2025-09-10,CU-10053,OFF-PA-1055,75.42,6,0.0,24.8
57,US-2023-100056,2023-05-02,CU-10032,OFF-PA-1056,530.75,11,0.0,88.5
58,US-2023-100057,2025-09-28,CU-10103,OFF-PA-1057,189.28,13,0.0,53.65
59,US-2023-100058,2024-10-23,CU-10038,FUR-FU-1058,414.9,3,0.0,35.7
60,US-2023-100059,2023-04-08,CU-10027,FUR-FU-1059,4657.56,12,0.0,614.24
61,US-2023-100060,2023-11-16,CU-10029,OFF-ST-1060,289.85,13,0.2,47.98
62,US-2023-100061,2023-05-04,CU-10035,OFF-ST-1061,27.54,2,0.0,2.09
63,US-2023-100062,2024-12-23,CU-10101,OFF-AR-1062,452.88,12,0.0,51.23
64,US-2023-100063,2023-03-08,CU-10095,FUR-FU-1063,492.35,1,0.1,-30.49
65,US-2023-100064,2023-04-10,CU-10049,OFF-AR-1064,37.77,1,0.0,10.16
66,US-2023-100065,2023-07-27,CU-10006,TEC-PH-1065,2215.15,4,0.1,196.82
67,US-2023-100066,2024-08-06,CU-10091,TEC-CO-1066,3299.52,6,0.0,688.97
68,US-2023-100067,2024-04-14,CU-10112,OFF-LA-1067,101.79,9,0.4,12.57
69,US-2023-100068,2025-10-05,CU-10118,OFF-PA-1068,498.3,10,0.0,112.17
70,US-2023-100069,2024-12-16,CU-10064,FUR-TA-1069,5027.27,12,0.15,-352.12
71,US-2023-100070,2024-04-17,CU-10054,OFF-LA-1070,502.2,10,0.0,83.23
72,US-2023-100071,2024-09-18,CU-10046,TEC-AC-1071,2336.46,7,0.0,206.15
73,US-2023-100072,2023-12-31,CU-10036,TEC-MA-1072,908.72,4,0.15,212.92
