Product,Category,UnitPrice
Coca-Cola 1.5L,Beverages,65.0
Nescafe 3-in-1 Sachet,Beverages,8.0
C2 Green Tea 500ml,Beverages,22.0
Milo Sachet,Beverages,9.0
Piattos 85g,Snacks,32.0
Boy Bawang 100g,Snacks,18.0
SkyFlakes Crackers,Snacks,15.0
Nova Multigrain 78g,Snacks,30.0
Lucky Me Pancit Canton Noodles,Noodles & Canned Goods,14.0
Lucky Me Beef Sotanghon,Noodles & Canned Goods,13.0
Nissin Cup Noodles,Noodles & Canned Goods,20.0
Argentina Corned Beef,Noodles & Canned Goods,35.0
CDO Corned Beef,Noodles & Canned Goods,33.0
555 Sardines,Noodles & Canned Goods,22.0
Safeguard Soap Bar,Personal Care,28.0
Head & Shoulders Sachet,Personal Care,7.0
Colgate Toothpaste 75ml,Personal Care,45.0
Palmolive Shampoo Sachet,Personal Care,6.0
Surf Powder Sachet,Household Care,8.0
Joy Dishwashing Liquid 250ml,Household Care,38.0
Domex Toilet Cleaner,Household Care,55.0
Zonrox Bleach 500ml,Household Care,32.0
Yellow Pad Paper,School & Office Supplies,12.0
ILUV Ballpen,School & Office Supplies,10.0
Sterling Notebook,School & Office Supplies,18.0
Sta. Maria Crayons,School & Office Supplies,40.0
